"date","year","month","day","total_downloads"
"2017-01-26",2017,"January",26,901
"2017-01-27",2017,"January",27,480
"2017-01-28",2017,"January",28,258
"2017-01-29",2017,"January",29,985
"2017-01-30",2017,"January",30,1025
"2017-01-31",2017,"January",31,575
"2017-02-01",2017,"February",01,576
"2017-02-02",2017,"February",02,1310
"2017-02-03",2017,"February",03,1511
"2017-02-04",2017,"February",04,1142
"2017-02-05",2017,"February",05,934
"2017-02-06",2017,"February",06,739
"2017-02-07",2017,"February",07,517
"2017-02-08",2017,"February",08,1006
"2017-02-09",2017,"February",09,451
"2017-02-10",2017,"February",10,494
"2017-02-11",2017,"February",11,218
"2017-02-12",2017,"February",12,766
"2017-02-13",2017,"February",13,654
"2017-02-14",2017,"February",14,391
"2017-02-15",2017,"February",15,359
"2017-02-16",2017,"February",16,238
"2017-02-17",2017,"February",17,636
"2017-02-18",2017,"February",18,434
"2017-02-19",2017,"February",19,897
"2017-02-20",2017,"February",20,1475
"2017-02-21",2017,"February",21,985
"2017-02-22",2017,"February",22,948
"2017-02-23",2017,"February",23,435
"2017-02-24",2017,"February",24,287
"2017-02-25",2017,"February",25,341
"2017-02-26",2017,"February",26,636
"2017-02-27",2017,"February",27,672
"2017-02-28",2017,"February",28,361
"2017-03-01",2017,"March",01,309
"2017-03-02",2017,"March",02,268
"2017-03-03",2017,"March",03,321
"2017-03-04",2017,"March",04,258
"2017-03-05",2017,"March",05,972
"2017-03-06",2017,"March",06,715
"2017-03-07",2017,"March",07,963
"2017-03-08",2017,"March",08,450
"2017-03-09",2017,"March",09,380
"2017-03-10",2017,"March",10,699
"2017-03-11",2017,"March",11,689
"2017-03-12",2017,"March",12,1931
"2017-03-13",2017,"March",13,660
"2017-03-14",2017,"March",14,433
"2017-03-15",2017,"March",15,387
"2017-03-16",2017,"March",16,517
"2017-03-17",2017,"March",17,320
"2017-03-18",2017,"March",18,437
"2017-03-19",2017,"March",19,695
"2017-03-20",2017,"March",20,1308
"2017-03-21",2017,"March",21,1315
"2017-03-22",2017,"March",22,861
"2017-03-23",2017,"March",23,480
"2017-03-24",2017,"March",24,474
"2017-03-25",2017,"March",25,432
"2017-03-26",2017,"March",26,1231
"2017-03-27",2017,"March",27,1042
"2017-03-28",2017,"March",28,944
"2017-03-29",2017,"March",29,960
"2017-03-30",2017,"March",30,733
"2017-03-31",2017,"March",31,585
"2017-04-01",2017,"April",01,433
"2017-04-02",2017,"April",02,1069
"2017-04-03",2017,"April",03,1479
"2017-04-04",2017,"April",04,976
"2017-04-05",2017,"April",05,833
"2017-04-06",2017,"April",06,809
"2017-04-07",2017,"April",07,625
"2017-04-08",2017,"April",08,394
"2017-04-09",2017,"April",09,751
"2017-04-10",2017,"April",10,791
"2017-04-11",2017,"April",11,431
"2017-04-12",2017,"April",12,616
"2017-04-13",2017,"April",13,1217
"2017-04-14",2017,"April",14,1109
"2017-04-15",2017,"April",15,671
"2017-04-16",2017,"April",16,1303
"2017-04-17",2017,"April",17,955
"2017-04-18",2017,"April",18,1086
"2017-04-19",2017,"April",19,593
"2017-04-20",2017,"April",20,1098
"2017-04-21",2017,"April",21,1181
"2017-04-22",2017,"April",22,743
"2017-04-23",2017,"April",23,1218
"2017-04-24",2017,"April",24,723
"2017-04-25",2017,"April",25,540
"2017-04-26",2017,"April",26,2180
"2017-04-27",2017,"April",27,436
"2017-04-28",2017,"April",28,1146
"2017-04-29",2017,"April",29,536
"2017-04-30",2017,"April",30,632
"2017-05-01",2017,"May",01,2315
"2017-05-02",2017,"May",02,1705
"2017-05-03",2017,"May",03,714
"2017-05-04",2017,"May",04,982
"2017-05-05",2017,"May",05,1219
