downloads_percent,downloads_total,interval
0.0008,1641,2020-11-16
0.00098,2014,2020-11-17
0.00082,1693,2020-11-18
0.00016,321,2020-11-19
0.00045,937,2020-11-20
0.00018,380,2020-11-21
0.00057,1183,2020-11-22
0.00148,3054,2020-11-23
0.00059,1209,2020-11-24
0.00022,459,2020-11-25
0.00084,1724,2020-11-26
0.00065,1332,2020-11-27
0.00042,859,2020-11-28
0.00094,1932,2020-11-29
0.00162,3333,2020-11-30
0.00064,1327,2020-12-01
0.00088,1819,2020-12-02
0.00081,1662,2020-12-03
0.0001,199,2020-12-04
0.00044,915,2020-12-05
0.00009,181,2020-12-06
0.00089,1839,2020-12-07
0.00054,1114,2020-12-08
0.00025,520,2020-12-09
0.00016,338,2020-12-10
0.00026,542,2020-12-11
0.00041,849,2020-12-12
0.00049,1012,2020-12-13
0.0012,2483,2020-12-14
0.00092,1900,2020-12-15
0.00126,2594,2020-12-16
0.00066,1362,2020-12-17
0.0006,1239,2020-12-18
0.00016,320,2020-12-19
0.00011,217,2020-12-20
0.00016,324,2020-12-21
0.00014,288,2020-12-22
0.00019,387,2020-12-23
0.00067,1375,2020-12-24
0.00014,290,2020-12-25
0.00064,1326,2020-12-26
0.00039,808,2020-12-27
0.00024,502,2020-12-28
0.00029,594,2020-12-29
0.00037,772,2020-12-30
0.00016,331,2020-12-31
0.00016,326,2021-01-01
0.00057,1175,2021-01-02
0.00014,295,2021-01-03
0.00039,810,2021-01-04
0.00043,888,2021-01-05
0.00105,2158,2021-01-06
0.00051,1055,2021-01-07
0.00058,1192,2021-01-08
0.00039,804,2021-01-09
0.00018,370,2021-01-10
0.00201,4155,2021-01-11
0.00158,3249,2021-01-12
0.00043,881,2021-01-13
0.0004,829,2021-01-14
0.00026,538,2021-01-15
0.00029,589,2021-01-16
0.00033,677,2021-01-17
0.00103,2131,2021-01-18
0.00096,1983,2021-01-19
0.00086,1770,2021-01-20
0.00044,905,2021-01-21
0.00066,1359,2021-01-22
0.00048,981,2021-01-23
