"region","total_downloads"
"Oregon, United States",136
"Pennsylvania, United States",263
"Rhode Island, United States",12
"South Carolina, United States",50
"South Dakota, United States",4
"Tennessee, United States",85
"Texas, United States",2877
"Utah, United States",46
"Virginia, United States",363
"Vermont, United States",17
"Washington, United States",334
"Wisconsin, United States",97
"West Virginia, United States",41
"Wyoming, United States",5
", Venezuela",3
"Miranda, Venezuela",1
"Distrito Federal, Venezuela",5
", Virgin Islands, British",1
", Virgin Islands, British",1
"Ha Noi, Vietnam",12
"Dong Nai, Vietnam",2
"Da Nang, Vietnam",1
", South Africa",6
"KwaZulu-Natal, South Africa",22
"Gauteng, South Africa",78
"Limpopo, South Africa",1
"Western Cape, South Africa",11
"Mashonaland East, Zimbabwe",1
